Text,Binary Language
nature in the broadest sense is the natural physical material world or universe,0
nature can refer to the phenomena of the physical world and also to life in general,0
the study of nature is a large if not the only part of science,0
although humans are part of nature human activity is often understood as a separate category from other natural phenomena,0
the word nature is borrowed from the old french nature and is derived from the latin word natura or essential qualities innate disposition and in ancient times literally meant birth,0
in ancient philosophy natura is mostly used as the latin translation of the greek word physis φύσις which originally related to the intrinsic characteristics that plants animals and other features of the world develop of their own accord,0
the concept of nature as a whole the physical universe is one of several expansions of the original notion it began with certain core applications of the word φύσις by presocratic philosophers though this word had a dynamic dimension then especially for heraclitus and has steadily gained currency ever since,0
during the advent of modern scientific method in the last several centuries nature became the passive reality organized and moved by divine laws,0
with the industrial revolution nature increasingly became seen as the part of reality deprived from intentional intervention it was hence considered as sacred by some traditions rousseau american transcendentalism or a mere decorum for divine providence or human history hegel marx,0
however a vitalist vision of nature closer to the presocratic one got reborn at the same time especially after charles darwin,0
within the various uses of the word today nature often refers to geology and wildlife,0
nature can refer to the general realm of living plants and animals and in some cases to the processes associated with inanimate objectsthe way that particular types of things exist and change of their own accord such as the weather and geology of the earth,0
it is often taken to mean the natural environment or wildernesswild animals rocks forest and in general those things that have not been substantially altered by human intervention or which persist despite human intervention,0
for example manufactured objects and human interaction generally are not considered part of nature unless qualified as for example human nature or the whole of nature,0
this more traditional concept of natural things that can still be found today implies a distinction between the natural and the artificial with the artificial being understood as that which has been brought into being by a human consciousness or a human mind,0
depending on the particular context the term natural might also be distinguished from the unnatural or the supernatural,0
earth is the only planet known to support life and its natural features are the subject of many fields of scientific research,0
within the solar system it is third closest to the sun it is the largest terrestrial planet and the fifth largest overall,0
its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region,0
precipitation varies widely with location from several metres of water per year to less than a millimetre,0
percent of the earth s surface is covered by saltwater oceans,0
the remainder consists of continents and islands with most of the inhabited land in the northern hemisphere,0
earth has evolved through geological and biological processes that have left traces of the original conditions,0
the outer surface is divided into several gradually migrating tectonic plates,0
the interior remains active with a thick layer of plastic mantle and an ironfilled core that generates a magnetic field,0
this iron core is composed of a solid inner phase and a fluid outer phase,0
convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field,0
the atmospheric conditions have been significantly altered from the original conditions by the presence of lifeforms which create an ecological balance that stabilizes the surface conditions,0
despite the wide regional variations in climate by latitude and other geographic factors the longterm average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the earth,0
geology is the science and study of the solid and liquid matter that constitutes the earth,0
the field of geology encompasses the study of the composition structure physical properties dynamics and history of earth materials and the processes by which they are formed moved and changed,0
the field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some geotechnical engineering fields and understanding past climates and environments,0
the geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations,0
rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock,0
deposition can occur when sediments settle onto the surface of the earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface,0
igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude,0
after the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed,0
deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside strikeslip motion,0
these structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates,0
earth is estimated to have formed billion years ago from the solar nebula along with the sun and other planets,0
the moon formed roughly million years later,0
initially molten the outer layer of the earth cooled resulting in the solid crust,0
outgassing and volcanic activity produced the primordial atmosphere,0
condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources,0
the highly energetic chemistry is believed to have produced a selfreplicating molecule around billion years ago,0
continents formed then broke up and reformed as the surface of earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent,0
roughly million years ago the earliest known supercontinent rodinia began to break apart,0
the continents later recombined to form pannotia which broke apart about million years ago then finally pangaea which broke apart about million years ago,0
during the neoproterozoic era freezing temperatures covered much of the earth in glaciers and ice sheets,0
this hypothesis has been termed the snowball earth and it is of particular interest as it precedes the cambrian explosion in which multicellular life forms began to proliferate about million years ago,0
since the cambrian explosion there have been five distinctly identifiable mass extinctions,0
the last mass extinction occurred some million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals,0
over the past million years mammalian life diversified,0
several million years ago a species of small african ape gained the ability to stand upright,0
the subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate,0
by comparison the great oxygenation event produced by the proliferation of algae during the siderian period required about million years to culminate,0
the present era is classified as part of a mass extinction event the holocene extinction event the fastest ever to have occurred,0
some such as e o wilson of harvard university predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next years,0
the extent of the current extinction event is still being researched debated and calculated by biologists,0
the earth s atmosphere is a key factor in sustaining the ecosystem,0
the thin layer of gases that envelops the earth is held in place by gravity,0
air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc,0
the atmospheric pressure declines steadily with altitude,0
the ozone layer plays an important role in depleting the amount of ultraviolet uv radiation that reaches the surface,0
as dna is readily damaged by uv light this serves to protect life at the surface,0
the atmosphere also retains heat during the night thereby reducing the daily temperature extremes,0
terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat,0
ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions,0
these currents help to moderate the differences in temperature between winter and summer in the temperate zones,0
also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder,0
weather can have both beneficial and harmful effects,0
extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation,0
surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food,0
climate is a measure of the longterm trends in the weather,0
various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the earth s orbit,0
based on historical records the earth is known to have undergone drastic climate changes in the past including ice ages,0
the climate of a region depends on a number of factors especially latitude,0
a latitudinal band of the surface with similar climatic attributes forms a climate region,0
there are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes,0
weather is also influenced by the seasons which result from the earth s axis being tilted relative to its orbital plane,0
thus at any given time during the summer or winter one part of the earth is more directly exposed to the rays of the sun,0
this exposure alternates as the earth revolves in its orbit,0
at any given time regardless of season the northern and southern hemispheres experience opposite seasons,0
weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days,0
overall two things are happening worldwide temperature is increasing on the average and regional climates have been undergoing noticeable changes,0
water is a chemical substance that is composed of hydrogen and oxygen ho and is vital for all known forms of life,0
