Text,Binary Language
nature è una delle più antiche ed importanti riviste scientifiche esistenti forse in assoluto quella considerata di maggior prestigio nell ambito della comunità scientifica internazionale insieme a science,1
viene pubblicata fin dal novembre,1
nonostante la maggior parte delle riviste del campo siano oggi altamente specializzate nature è uno dei pochi giornali insieme ad altri mensili quali science e proceedings of the national academy of sciences che pubblica ancora articoli originali su svariati campi scientifici,1
molti sono gli avanzamenti e le scoperte provenienti da molti campi della ricerca scientifica che sono stati pubblicati su nature come articoli o lettere ad esempio la scoperta dei raggi x la natura ondulatoria delle particelle la scoperta dei neutroni le scoperte sulla fissione nucleare la struttura a doppia elica del dna la prima struttura molecolare di una proteina la mioglobina la tettonica a zolle il buco dell ozono la prima clonazione di un mammifero la pecora dolly il sequenziamento del genoma umano,1
il fattore di impatto impact factor di questa rivista supera nel l enorme valore di,1
oltre a nature stesso ci sono tre famiglie di riviste scientifiche legate a nature edite dal nature publishing group in un intervista pubblicata nel su the guardian randy schekman rilascia delle dichiarazioni riguardanti le grandi riviste scientifiche facendo il nome di nature science o cell additandole come colpevoli di danneggiare l attività di ricerca scientifica,1
secondo randy schekman l incentivo più forte nella ricerca scientifica è quello di vedere pubblicate le proprie ricerche nelle prestigiose riviste scientifiche poiché a questo viene fatto coincidere il più alto riconoscimento del proprio lavoro tale ragionamento è razionale ma non porta sempre a servire gli interessi della propria professione né quelli dell umanità o della società,1
questo perché le grandi riviste scientifiche tendono a curare in modo aggressivo i loro brand mettendo al primo posto la vendita di abbonamenti più che la pubblicazione di tutte le ricerche più significative mentre pubblicano molte ricerche rilevanti tendono tuttavia a non pubblicare tutte le ricerche rilevanti né sono gli unici a pubblicarle,1
nell articolo randy schekman critica sia la selezione assai restrittiva delle ricerche pubblicate da parte delle riviste scientifiche famose sia l impact factor considerandolo come un trucco di marketing dietro il quale le grandi riviste acquistano notorietà infatti l impact factor misura solamente il numero delle volte che una determinata rivista scientifica risulta citata nelle ricerche scientifiche successive senza considerare la qualità o l importanza della ricerca stessa una rivista scientifica può venire citata perché pubblica ricerche significative o anche perché pubblica qualcosa di accattivante provocativo o addirittura sbagliato,1
questo influenza l attività di ricerca in quanto la indirizza in quella direzione dove è possibile tirare fuori le conclusioni che vogliono queste riviste scoraggiando invece una direzione che potrebbe essere più importante ma magari meno accattivante ai lettori,1
altri progetti wikipedia pronuncia vedi sotto è un enciclopedia online a contenuto libero collaborativa multilingue e gratuita nata nel sostenuta e ospitata dalla wikimedia foundation un organizzazione non a scopo di lucro statunitense,1
lanciata da jimmy wales e larry sanger il gennaio inizialmente nell edizione in lingua inglese nei mesi successivi ha aggiunto edizioni in numerose altre lingue,1
sanger ne suggerì il nome una parola macedonia nata dall unione della radice wiki al suffisso pedia da enciclopedia,1
etimologicamente wikipedia significa cultura veloce dal termine hawaiano wiki veloce con l aggiunta del suffisso pedia dal greco antico παιδεία paideia formazione,1
con più di milioni di voci in oltre lingue è l enciclopedia più grande mai scritta è tra i dieci siti web più visitati al mondo e costituisce la maggiore e più consultata opera di riferimento generalista su internet,1
wikipedia prese il via come progetto complementare di nupedia un progetto per la creazione di un enciclopedia libera online le cui voci erano scritte da esperti volontari attraverso un processo formale di revisione,1
nupedia venne fondata il marzo dalla società bomis proprietaria dell omonimo portale di ricerca,1
le figure principali erano jimmy wales allora ceo della bomis e larry sanger redattore capo di nupedia e successivamente di wikipedia,1
per il concetto di wiki wales e sanger dichiararono di essersi ispirati ai siti wikiwikiweb o portland pattern repository di ward cunningham,1
wikipedia che esisteva già come servizio di nupediacom dal gennaio fu formalmente lanciata il gennaio successivo sul sito wikipediacom in lingua inglese,1
verso maggio giunsero i primi utenti registrati e nel corso dell anno si svilupparono le edizioni in francese tedesco inglese catalano spagnolo svedese portoghese e a fine anno italiano,1
alla fine del suo primo anno di esistenza l enciclopedia arrivò a contare quasi voci su edizioni in lingue differenti,1
raggiunse edizioni in lingua alla fine del alla fine del e alla fine del,1
nupedia e wikipedia coesistettero finché i server della prima furono chiusi definitivamente nel e i suoi testi incorporati in wikipedia nupedia aveva sofferto un tasso di crescita estremamente lento a causa dei complicati processi di revisione riuscendo a pubblicare solo voci sanger uscì di scena e un gruppo di utenti attuò una biforcazione della wikipedia in spagnolo per costituire l enciclopedia libre,1
da wikipedia e nupedia nacque nel la wikimedia foundation l organizzazione non profit che sostiene wikipedia e i progetti fratelli il primo dei quali fu in memoriam september wiki che nel tempo si sono aggiunti ognuno dei quali è specializzato in un determinato ambito del sapere,1
la wikimedia foundation ha infatti successivamente dato vita a progetti complementari tra i quali wiktionary wikibooks wikisource wikispecies wikiquote wikinotizie wikiversità e wikivoyage,1
wales cedette tutti i diritti alla fondazione da lui promossa che tuttora gestisce i marchi e l infrastruttura informatica garantendo che la gestione dei contenuti rimanesse affidata alla comunità degli utenti,1
se nei primi due anni cresceva alla velocità di poche centinaia o meno di nuove voci al giorno l edizione in inglese di wikipedia raggiunse il traguardo delle voci nel gennaio mentre nel subì un esplosione raddoppiando le dimensioni in un anno con un aumento da a voci al giorno,1
wikipedia ha raggiunto la sua milionesima voce tra le edizioni in lingua all epoca presenti il settembre,1
a partire dal è iniziata a costituirsi una rete di associazioni nazionali collegate alla wikimedia foundation chiamati capitoli ufficiali tra le quali wikimedia italia fondata nel,1
nel settembre dello stesso anno l edizione in italiano ha superato le voci,1
da quando wikipedia ha raggiunto un considerevole numero di voci e di utilizzatori è diventata un tipico fenomeno del web grazie anche alla sua particolarità di essere rapidamente modificabile e aggiornabile da chiunque,1
nel settembre l edizione in inglese ha tagliato lo storico traguardo di milioni di voci divenendo la più vasta enciclopedia mai scritta superando l enciclopedia yongle che ha detenuto tale primato per anni esatti nel guinness dei primati del wikipedia è riportata come la più grande enciclopedia al mondo,1
il marzo con oltre edizioni locali ha raggiunto i milioni di voci che erano raddoppiate il novembre e triplicate nel giro dei tre anni successivi superando nel i milioni di voci,1
a settembre le edizioni di wikipedia con più di voci erano divenute scritte in altrettante lingue di cui superavano il milione,1
l obiettivo di wikipedia è creare un enciclopedia libera ovvero liberamente accessibile a contenuto libero aperto e universale in termini di ampiezza di argomenti trattati,1
wikipedia è stata descritta da jimmy wales uno dei suoi fondatori come uno sforzo per creare e distribuire un enciclopedia libera della più alta qualità possibile a ogni singola persona sul pianeta nella sua propria lingua wikipedia nelle intenzioni di wales doveva raggiungere nel lungo termine una qualità pari o migliore dell enciclopedia britannica ed essere pubblicata anche su carta,1
il progetto ambizioso ma realistico si colloca dunque nell ambito della condivisione della conoscenza e della cultura partecipativa sfruttando la cosiddetta intelligenza collettiva sulla base delle regole d uso e di contribuzione espresse dall enciclopedia stessa,1
in quanto enciclopedia a carattere universale o generalista wikipedia tratta voci di molti argomenti diversi,1
le voci sono organizzate in categorie tematiche i temi generali sono generalmente illustrati da portali e coordinati tramite progetti,1
l enciclopedia è completamente gratuita e priva di pubblicità in linea con i suoi principi base il suo sostentamento è dovuto unicamente alle libere donazioni degli utenti grazie a una raccolta fondi avviata ogni anno dalla wikimedia foundation,1
il logo ufficiale di wikipedia è una sfera quasi completa costruita con pezzi di puzzle che riportano caratteri di vari alfabeti a simboleggiare il mondo e una conoscenza globale in costruzione a disposizione di tutti,1
su internet esistono o sono esistiti molti altri progetti enciclopedici,1
in generale dispongono di una linea editoriale stabilita e fanno uso delle tradizionali politiche sulla proprietà intellettuale dei contenuti come per esempio l enciclopedia stanford di filosofia compilata da esperti,1
siti web più informali come hg o everything servono come guide generali le cui voci sono scritte e controllate da persone comuni,1
progetti come wikipedia susningnu e la enciclopedia libre sono invece wiki le cui voci sono sviluppate da numerosi autori e in cui non esiste alcun processo formale di revisione,1
wikipedia è il primo e più grande di questi wiki enciclopedici per numero di voci,1
a differenza delle enciclopedie che l hanno preceduta il contenuto di wikipedia è distribuito con una licenza libera,1
wikipedia è pubblicata in lingue differenti di cui circa attive e contiene voci sia sugli argomenti propri di una tradizionale enciclopedia sia su quelli di almanacchi dizionari geografici e specialistici,1
il suo scopo è quello di raccogliere dati informazioni e descrizioni creando e distribuendo al pubblico un enciclopedia libera gratuita e sempre più ricca di contenuti,1
le varie edizioni in lingua sono sviluppate indipendentemente l una dall altra ovvero non sono vincolate ai contenuti presenti nelle altre ma sono tenute unicamente al rispetto delle linee guida generali del progetto come il punto di vista neutrale,1
i testi delle voci e i contenuti multimediali tuttavia sono spesso condivisi tra le varie edizioni i primi grazie alle traduzioni i secondi attraverso il progetto condiviso chiamato wikimedia commons,1
le voci tradotte rappresentano una percentuale relativamente piccola di quelle presenti in ciascuna edizione,1
le edizioni in lingua tedesca quella in lingua italiana e una selezione di voci tratte dalla versione in lingua inglese sono state distribuite anche su compact disc e dvd mentre di molte edizioni sono stati creati dei mirror online o dei progetti derivati,1
ad agosto wikipedia conteneva in totale più di milioni di voci in totale oltre milioni di pagine modificate oltre miliardi di volte e contava oltre milioni di utenti registrati,1
wikipedia è uno dei dieci siti più visitati al mondo oscillando nel tra il sesto e il settimo posto nella classifica mondiale riceve infatti oltre milioni di visitatori unici al mese a settembre,1
che sito si intende,1
wikipediaorg enwikipediaorg o tutte le edizioni linguistiche assieme,1
le voci di wikipedia sono spesso citate dai mass media tradizionali e da istituti accademici,1
l enciclopedia partecipata mi preoccupa meno la uso regolarmente e trovo che la qualità e l affidabilità delle informazioni sia notevole,1
qualche problema c è solo quando il soggetto è estremamente controverso,1
in questo caso la neutralità e le reciproche obiezioni spingono verso il minimo comun denominatore e bisogna accontentarsi,1
ma questo è inevitabile e in fondo accadeva già con le enciclopedie tradizionali la caratteristica primaria di wikipedia è il fatto che dà la possibilità a chiunque di collaborare utilizzando un sistema di modifica e pubblicazione aperto che si appoggia su una piattaforma wiki mediawiki,1
in altri termini essa è curata da volontari ovvero le pagine possono essere modificate da chiunque e non c è un comitato di redazione né alcun controllo preventivo sul contenuto inviato,1
in particolare essa si basa sul diritto di citazione come testimonianza di attendibilità dei contenuti presenti che citino dunque la fonte di origine classificandosi dunque come fonte terziaria,1
la registrazione non è obbligatoria ma consigliata,1
a causa della sua natura aperta vandalismi e imprecisioni sono problemi riscontrabili in wikipedia,1
il miglioramento dell enciclopedia è dovuto unicamente al continuo apporto di contributi sia in termini di nuovi contenuti che di revisioni degli stessi della forma e della formattazione secondo le linee guida da parte di tutti gli utenti volontari,1
caratteristica delle voci di wikipedia è inoltre l avere frequenti collegamenti ipertestuali ad altre voci dell enciclopedia che permettono una facile navigazione nel portale e un più facile approfondimento di altre voci con uno stile dunque che ricorda il web o web statico mentre di fatto la piattaforma mediawiki appartiene al web o web dinamico,1
tutte le voci sono comunemente rintracciabili tramite ricerca web con google che solitamente indicizza tra le prime posizioni ma l enciclopedia può essere vista come un vero e proprio portale web il cui accesso è dalla pagina principale che fornisce in primo piano una voce del giorno una voce di qualità ricorrenze del giorno un motore di ricerca interno ecc,1
le foto delle varie voci provengono dal progetto wikimedia commons sui cui vengono caricate e poi richiamate nelle voci di wikipedia,1
per garantire tale progresso wikipedia si fonda su cinque pilastri sulle seguenti linee guida volte ad identificare quali tipi di informazioni siano adatte a esservi inserite e su un codice di comportamento detto wikiquette,1
ad esse si fa spesso riferimento nelle dispute per decidere se un particolare contenuto debba essere aggiunto rivisto trasferito ad un progetto affine oppure rimosso,1
uno dei principi alla base di wikipedia è il punto di vista neutrale secondo il quale ad esempio le opinioni presentate da personaggi importanti o da opere letterarie vengono riassunte senza tentare di determinarne una verità oggettiva,1
le edizioni di wikipedia contengono spesso anche uno sportello informazioni in cui la comunità risponde alle domande tecniche degli utenti,1
originariamente pubblicata sotto la licenza libera gfdl dal giugno è migrata alla licenza creative commons bysa più compatibile con gli scopi e gli usi di wikipedia e in generale dei progetti wikimedia le licenze creative commons non esistevano nel alla nascita del progetto,1
il cambiamento di licenza è stato sottoposto a votazione della comunità,1
la licenza sotto la quale le voci di wikipedia sono rese disponibili è una delle molte licenze di copyright di tipo permissivo ma dal copyleft di tipo forte in quanto permette la redistribuzione la creazione di opere derivate e l uso commerciale del contenuto a condizione che si mantenga l attribuzione agli autori e che il contenuto rimanga disponibile sotto la stessa licenza,1
quando un utente contribuisce al progetto con materiale originale i diritti d autore rimangono in suo possesso ma egli acconsente a concedere la propria opera sotto la licenza libera,1
il materiale di wikipedia può quindi essere distribuito a o incorporato da fonti che a loro volta usino questa licenza,1
del contenuto di wikipedia sono stati creati numerosi mirror o progetti derivati a partire da copie dei database,1
sebbene tutti i testi siano disponibili sotto la stessa licenza una percentuale significativa di immagini e suoni in wikipedia non sono liberi elementi come loghi aziendali saggi testi di canzoni o foto giornalistiche protette da copyright sono usate con una rivendicazione di fair use tuttavia in alcuni paesi il concetto di fair use non è presente nel corpo legislativo e quindi opere che contenessero questi elementi potrebbero essere inammissibili,1
wikipedia ha ricevuto anche del materiale a condizione che non si possano produrre lavori derivati o che possa essere usato solo all interno di wikipedia,1
alcune edizioni comunque accettano solo contenuti multimediali liberi da copyright,1
wikipedia condivide le risorse software e hardware con gli altri progetti della wikimedia foundation in particolare il motore che interpreta il markup delle pagine mediawiki e i server su cui sono salvati i database che contengono le pagine dell enciclopedia,1
a maggio sono presenti diverse edizioni linguistiche di wikipedia di cui attive,1
la versione in lingua italiana di wikipedia è soprannominata itwiki ed è nata a maggio del sotto il nome a dominio di terzo livello itwikipediaorg,1
nel nascono le wikipedia in latino e in occitano,1
ad aprile nasce la wikipedia in sardo poi a ottobre la wikipedia in siciliano a gennaio la wikipedia in friulano e a seguire nel corso del le versioni linguistiche in corso napoletano romancio veneto e lombardo,1
nel sono nate poi le edizioni in ligure piemontese francoprovenzale e tarantino,1
nel è nata quella in emiliano e romagnolo,1
la creazione della wikipedia in lingua ladina è stata in fase di test fino al quando è stata resa operativa,1
il nome wikipedia è composto dal prefisso wiki dall hawaiano wiki veloce e dal suffisso pedia dal greco antico paideia formazione,1
il progetto non prevede una pronuncia ufficiale del suo nome proprio ma lascia libertà di pronunciarlo secondo le proprie preferenze,1
la pronuncia vichipedìa sarebbe preferibile in quanto linguisticamente più integrata considerando la pronuncia consolidata in lingua italiana del suffisso pedìa pedìa pedia come in enciclopedia e la pronuncia consolidata della lettera w di wiki vìchi viki come in wafer o wc,1
anche l accademia della crusca si è espressa analogamente in più occasioni,1
le pronunce anglicizzanti o inglesi italianizzate meno integrate nel sistema linguistico dell italiano sono tuttavia diffuse,1
il dizionario di pronuncia italiana di luciano canepari uniformandosi alla pronuncia inglese riporta wikipɛdja uichipèdia come forma primaria wikipidja uichipìdia come accettabile e wikipedia uichipedìa come pronuncia intenzionale per fare sfoggio,1
in inglese si dice comunemente wɪkipidiə o wikipidiə ma non esiste una pronuncia ufficiale,1
wikipedia non è regolata da alcun comitato di redazione centrale le sue voci sono scritte spontaneamente da centinaia di migliaia di volontari non remunerati né iscritti ad associazioni che si organizzano autonomamente stabilendo da soli le regole interne e lo svolgimento degli argomenti nelle voci,1
wikipedia infatti è costruita sulla convinzione che la collaborazione tra gli utenti possa nel tempo migliorare le voci più o meno nello stesso spirito con cui viene sviluppato il software libero,1
nel caso del software se è libero chiunque può prelevarne i sorgenti modificarli e ridistribuirli eppure solitamente i programmatori si limitano a proporre alcune modifiche agli autori i quali le adottano oppure no a loro insindacabile giudizio,1
le voci sono sempre aperte alle modifiche tranne quando vengono protette a tempo determinato a causa di vandalismi o edit war e non si dichiara mai conclusa la stesura di una voce,1
accade che alcuni utenti provino a inserire informazioni malevole o goliardiche ma enciclopedicamente irrilevanti che vengono generalmente rimosse prontamente da altri utenti,1
questo tipo di modifiche è in gergo chiamato vandalismo,1
wikipedia mantiene un approccio ottimistico sulla bontà delle modifiche proposte tutti coloro che visitano il sito di wikipedia hanno la possibilità di creare o modificare una voce e vedere pubblicate all istante le loro modifiche,1
gli autori delle voci che non devono avere necessariamente alcuna competenza o qualifica formale sugli argomenti trattati ma devono basare le proprie pubblicazioni su fonti autorevoli sono però avvertiti che i loro contributi possono essere cancellati o a loro volta modificati e redistribuiti da chiunque nei termini della licenza e delle linee guida interne a wikipedia,1
le voci sono controllate dalla comunità con il supporto di un gruppo di amministratori che svolgono alcune azioni tecniche,1
le decisioni da prendere sul contenuto e sulle politiche editoriali di wikipedia sono ottenute di norma per consenso e in alcuni casi per votazione sebbene per alcuni anni jimmy wales si fosse riservato decisioni in alcuni casi nell edizione in inglese,1
grazie al software wiki tutte le modifiche alle voci di wikipedia sono archiviate in una cronologia delle versioni accessibile a chiunque,1
wikipedia perciò è anche la prima tra le grandi enciclopedie che permette a tutti di osservare il processo di sviluppo nel tempo di una voce e di verificare se come e dove il contenuto è stato oggetto di controversie,1
